source_url,target_url,status
/2017/08/centos-and-security-updates.html,/posts/2017/centos-and-security-updates/,301
/2017/10/efi-with-libvirt-in-rhel7.html,/posts/2017/efi-with-libvirt-in-rhel7/,301
/2017/04/pulseaudio-headset-switcher.html,/posts/2017/pulseaudio-headset-switcher/,301
/2017/10/ryzen-and-linux-is-a-disaster-2017.html,/posts/2017/ryzen-and-linux-is-a-disaster-2017/,301
/2017/07/git-auto-fetch-script-i-run-every-day.html,/posts/2017/git-auto-fetch-script-i-run-every-day/,301
/2017/06/ryzen-workstation-build-2017.html,/posts/2017/ryzen-workstation-build-2017/,301
/2017/10/definitive-solution-to-libvirt-guest-naming.html,/posts/2017/definitive-solution-to-libvirt-guest-naming/,301
/2022/01/fast-backups-of-fedora-with-btrbk.html,/posts/2022/fast-backups-of-fedora-with-btrbk/,301
/2022/10/the-ultimate-git-hook-to-prevent-push-accidents.html,/posts/2022/the-ultimate-git-hook-to-prevent-push-accidents/,301
/2022/02/easy-vm-access-with-routed-libvirt-mode.html,/posts/2022/easy-vm-access-with-routed-libvirt-mode/,301
/2022/09/sql-joins-really-explained.html,/posts/2022/sql-joins-really-explained/,301
/2022/11/apache2-http-logging-into-journald-ring-buffer.html,/posts/2022/apache2-http-logging-into-journald-ring-buffer/,301
/2022/02/two-dhcp-servers-in-a-libvirt-network.html,/posts/2022/two-dhcp-servers-in-a-libvirt-network/,301
/2022/11/lightweight-mastodon-instance-gotosocial.html,/posts/2022/lightweight-mastodon-instance-gotosocial/,301
/2022/11/http-uefi-boot-with-tianocore-libvirt.html,/posts/2022/http-uefi-boot-with-tianocore-libvirt/,301
/2022/11/why-mastodon-instances-are-difficult-to-scale.html,/posts/2022/why-mastodon-instances-are-difficult-to-scale/,301
/2022/10/send-warning-email-when-your-drive-is-dying.html,/posts/2022/send-warning-email-when-your-drive-is-dying/,301
/2006/01/old-blog-entries.html,/posts/2006/old-blog-entries/,301
/2015/04/configure-journal-on-your-fedora.html,/posts/2015/configure-journal-on-your-fedora/,301
/2015/01/speech-compressor-and-limiter-for-your-headset-in-fedora.html,/posts/2015/speech-compressor-and-limiter-for-your-headset-in-fedora/,301
/2015/09/how-to-configure-nfs-firewall-in-rhel7.html,/posts/2015/how-to-configure-nfs-firewall-in-rhel7/,301
/2015/11/image-based-deployment-via-dd-and-nbd.html,/posts/2015/image-based-deployment-via-dd-and-nbd/,301
/2015/12/served-by-cloudflare.html,/posts/2015/served-by-cloudflare/,301
/2015/09/fedora-22-libvirt-with-bridge.html,/posts/2015/fedora-22-libvirt-with-bridge/,301
/2015/10/foreman-and-pxe-less-environments.html,/posts/2015/foreman-and-pxe-less-environments/,301
/2019/06/how-to-report-a-selinux-bug.html,/posts/2019/how-to-report-a-selinux-bug/,301
/2019/06/slow-boot-lvm2-pv-scan-on-device.html,/posts/2019/slow-boot-lvm2-pv-scan-on-device/,301
/2019/12/minecraft-bedrock-edition-for-ps4-product-number-in-the-wild.html,/posts/2019/minecraft-bedrock-edition-for-ps4-product-number-in-the-wild/,301
/2019/07/thinkpad-x1-carbon-6th-gen-on-fedora.html,/posts/2019/thinkpad-x1-carbon-6th-gen-on-fedora/,301
/2019/09/testing-tls-ca-server-and-client-certs.html,/posts/2019/testing-tls-ca-server-and-client-certs/,301
/2019/11/how-to-easily-send-e-mails-via-mailx.html,/posts/2019/how-to-easily-send-e-mails-via-mailx/,301
/2019/11/simple-script-to-record-a-window-and-audio-in-linux.html,/posts/2019/simple-script-to-record-a-window-and-audio-in-linux/,301
/2019/08/capture-and-playback-udp-packets.html,/posts/2019/capture-and-playback-udp-packets/,301
/2019/06/different-yum-behavior-in-rhel7-and-8.html,/posts/2019/different-yum-behavior-in-rhel7-and-8/,301
/2019/06/configuring-eaton-3s-ups-with-fedora-30.html,/posts/2019/configuring-eaton-3s-ups-with-fedora-30/,301
/2019/05/lvm-cache-in-six-easy-steps.html,/posts/2019/lvm-cache-in-six-easy-steps/,301
/2019/12/easy-libvirt-ipv6-routed-network.html,/posts/2019/easy-libvirt-ipv6-routed-network/,301
/2019/08/hidden-gem-of-fedora-lbzip2.html,/posts/2019/hidden-gem-of-fedora-lbzip2/,301
/2019/02/linux-as-nat-server-in-easy-steps.html,/posts/2019/linux-as-nat-server-in-easy-steps/,301
/2019/06/installing-ansible-28-on-rhel8.html,/posts/2019/installing-ansible-28-on-rhel8/,301
/2019/02/how-to-convert-song-to-youtube.html,/posts/2019/how-to-convert-song-to-youtube/,301
/2019/02/set-the-default-route-via-nmcli.html,/posts/2019/set-the-default-route-via-nmcli/,301
/2019/12/minecraft-server-pmmp-on-raspberry-pi-4b.html,/posts/2019/minecraft-server-pmmp-on-raspberry-pi-4b/,301
/2019/06/switching-from-i3status-to-barista.html,/posts/2019/switching-from-i3status-to-barista/,301
/2019/02/connecting-a-physical-host-to-libvirt-nat-network.html,/posts/2019/connecting-a-physical-host-to-libvirt-nat-network/,301
/2019/02/nice-launcher-for-i3wm-xlunch.html,/posts/2019/nice-launcher-for-i3wm-xlunch/,301
/2014/07/tunnel-into-your-libvirt-nat-network-with-socks.html,/posts/2014/tunnel-into-your-libvirt-nat-network-with-socks/,301
/2014/09/efi-in-qemu-kvm-on-fedora-20.html,/posts/2014/efi-in-qemu-kvm-on-fedora-20/,301
/2014/04/selinux-puppet-update-in-fedora-20-and-rawhide.html,/posts/2014/selinux-puppet-update-in-fedora-20-and-rawhide/,301
/2014/05/systemtap-as-a-system-wide-strace-tool.html,/posts/2014/systemtap-as-a-system-wide-strace-tool/,301
/2014/05/virt-builder-quick-provision-script.html,/posts/2014/virt-builder-quick-provision-script/,301
/2014/04/get-any-gdi-printer-to-work-on-rhel6.html,/posts/2014/get-any-gdi-printer-to-work-on-rhel6/,301
/2014/04/hidden-feature-of-fedora-20-pass-cli-manager.html,/posts/2014/hidden-feature-of-fedora-20-pass-cli-manager/,301
/2014/05/track-short-lived-processes-with-auditd.html,/posts/2014/track-short-lived-processes-with-auditd/,301
